Index,Source,P/C,,,,Count
353,"(Photo: AMY LEANG, Detroit Free Press)",Professional - press,,,,1
354,(Photo: Matt Friedman/Tanner Friedman Strategic Communications),                              ,,,,4
355,(Photo: Perry Nelson USA TODAY Sports),Professional - usa today sports,,,,1
356,"(Photo: Romain Blanquart, DFP)",                              ,,,,1
357,(Photo: Dave Birkett DFP),                              ,,,,1
358,"(Photo: Andy Lyons, Getty Images)",Professional - getty,,,,2
359,"(Photo: John Grieshop, Getty Images)",Professional - getty,,,,1
360,(Photo: Charlotte Russe.),                              ,,,,1
361,(Photo: Getty Images),Professional - getty,,,,4
362,"Matthew Emmons, USA TODAY Sports",Professional - usa today sports,,,,15
363,"John David Mercer, USA TODAY Sports",Professional - usa today sports,,,,6
364,"Jason Getz, USA TODAY Sports",Professional - usa today sports,,,,5
365,"Christopher Hanewinckel, USA TODAY Sports",Professional - usa today sports,,,,4
366,"Robert Deutsch, USA TODAY Sports",Professional - usa today sports,,,,4
367,(Photo: File),Professional - file,,,,1
368,"(Photo: Joe Robbins, Getty Images)",Professional - getty,,,,1
369,(Photo: Warren Police Department),Professional - police,,,,1
370,"(Photo: Cora McLennan, Moran Iron Works)",                              ,,,,1
371,"(Photo: Mary Schroeder, Detroit Free Press)",Professional - press,,,,1
372,(Photo: Mark Kurlyandchik),Professional - press,,,,1
373,Dave Solce,                              ,,,,9
374,Jack Ryan,                              ,,,,9
375,Brian Ertl,                              ,,,,3
376,"Russell Bronson, www.russellbronson.com",Professional - co.,,,,3
377,"(Photo: Raj Mehta, Raj Mehta-USA TODAY Sports)",Professional - usa today sports,,,,2
378,"(Photo: Seth Wenig, AP)",Professional - ap,,,,1
379,(Photo: JESSICA LYNN WALKER),                              ,,,,2
380,Steve Fecht for Chevrolet,                              ,,,,4
381,Chevrolet,Professional - news,,,,13
382,(Photo: Kent County Sheriff's Office),Professional - sherif,,,,2
383,(Photo: Muskegon County Sheriff's Office),Professional - sherif,,,,1
384,"(Photo: John Raoux, AP)",Professional - ap,,,,1
385,"(Photo: Tim Fuller, USA TODAY Sports)",Professional - usa today sports,,,,3
386,"(Photo: Duane Burleson, AP)",Professional - ap,,,,2
387,"Tim Fuller, USA TODAY Sports",Professional - usa today sports,,,,14
388,(Photo: Special to the Detroit Free Press),Professional - press,,,,1
389,"(Photo: Tom Loy, 247Sports)",Professional - sports,,,,1
390,(Photo: Krock Photography LLC),                              ,,,,1
391,(Photo: Joseph Cress/Iowa City Press-Citizen),Professional - city,,,,1
392,(Photo: Photo courtesy of Steven Lorenz),                              ,,,,1
393,(Photo: Courtesy of Pine-Richland),                              ,,,,1
394,(Photo: Curt Hogg),                              ,,,,1
395,"(Photo: Jose Juarez, AP)",Professional - ap,,,,1
396,"(Photo: Robert Deutsch, USA TODAY Sports)",Professional - usa today sports,,,,1
397,"(Photo: KATHLEEN GALLIGAN, Detroit Free Press)",Professional - press,,,,1
