Index,Source,P/C,,,,Count
353,Photo: Jacom Stephens / Getty Image,Professional - getty,,,,2
354,Photo: Tom Stienstra / Harry McGrath / Special to The Chronicle,Professional - the chronicle,,,,1
355,Photo: Expensify photos,                              ,,,,1
356,Photo: Expensify,                              ,,,,1
357,Photo: Stephen Lam / Special to The Chronicle,Professional - the chronicle,,,,6
358,Photo: Barney Peterson / The Chronicle 1976,Professional - the chronicle,,,,1
359,Photo: Charlie Neibergall / Associated Press,Professional - associated press,,,,1
360,"Photo: Mark Ralston, AFP/Getty Images",Professional - getty,,,,1
361,Photo: Vanessa Hua,                              ,,,,1
362,"Photo: Evan Vucci, Associated Press",Professional - associated press,,,,1
363,Photo: Cheeky Baby,                              ,,,,1
364,Photo: RAMIN RAHIMIAN / Special to The Chronicle,Professional - the chronicle,,,,3
365,Photo: Ramin Rahimian / Special to The Chronicle,Professional - the chronicle,,,,3
366,Photo: Shwanika Narayan / The Chronicle,Professional - the chronicle,,,,6
367,"Photo: Laura Morton, Special to The Chronicle",Professional - the chronicle,,,,7
368,Photo: Adam Glanzman / Getty Images 2016,Professional - getty,,,,1
369,Photo: Scott Strazzante / The Chronicle 2017,Professional - the chronicle,,,,3
370,Photo: Junipero Serra High School-San Mateo,Professional - school,,,,4
371,Photo: Dennis Lee / Max Preps,                              ,,,,1
372,Photo: Michael Cabanatuan,Professional - the chronicle,,,,1
373,Photo: Sony Pictures,Professional - sony,,,,2
374,Photo: Warner Bros. Pictures,Professional - warner bros,,,,1
375,Photo: Liz Hafalia / The Chronicle 2015,Professional - the chronicle,,,,1
376,Photo: Steve Ringman / The Chronicle 1981,Professional - the chronicle,,,,5
377,Photo: Steve Ringman / The Chronicle,Professional - the chronicle,,,,8
378,Photo: Liz Moughon / The Chronicle 2018,Professional - the chronicle,,,,1
379,Photo: Richard Drew / Associated Press,Professional - associated press,,,,2
380,Photo: Lea Suzuki / The Chronicle 2017,Professional - the chronicle,,,,1
381,Photo: Santiago Mejia,Professional - getty,,,,1
382,Photo: Gregory Shamus / TNS,Professional - tns,,,,1
383,Photo: Contra Costa County Sheriff's Office,Professional - county,,,,3
384,Photo: Yotel,                              ,,,,7
385,"Photo: Gabrielle Lurie, The Chronicle",Professional - the chronicle,,,,1
386,Photo: Doug Larson / Coldwell Banker 2018,                              ,,,,2
387,Photo: Mason Trinca / Special to The Chronicle 2017,Professional - the chronicle,,,,1
388,Photo: Courtesy of Adrian Burrell,                              ,,,,2
389,Photo: Scott Strazzante /  The Chronicle,Professional - the chronicle,,,,1
390,Photo: Michael Short / Special to the Chronicle,Professional - the chronicle,,,,1
391,Photo: Susana Bates / Special to The Chronicle 2013,Professional - the chronicle,,,,1
392,Photo: Alexandra Minor / AFP / Getty Images,Professional - getty,,,,1
393,Photo: File photo,Professional - file,,,,1
394,Photo: San Francisco History Center,Professional - center,,,,1
395,Photo: Art Frisch / The Chronicle 1948,Professional - the chronicle,,,,1
396,Photo: The Chronicle 1948,Professional - the chronicle,,,,1
397,"Photo: Patri, Burlage, Merker Architects",Professional - architect,,,,1
398,Photo: Paul Chinn / The Chronicle 2016,Professional - the chronicle,,,,1
399,Photo: John’s Grill,                              ,,,,1
400,Photo: Courtesy Paula Lykins,                              ,,,,2
401,Photo: Ashley McBride / The Chronicle,Professional - the chronicle,,,,2
402,"Photo: Jeff Kravitz, FilmMagic 2018",                              ,,,,2
403,"Photo: FilmMagic, FilmMagic 2018",                              ,,,,1
404,Photo: Jana Asenbrennerova / Special to The Chronicle,Professional - the chronicle,,,,3
405,Photo: Andy Lyons / Getty Images,Professional - getty,,,,3
406,Photo: John Shea / The Chronicle,Professional - the chronicle,,,,1
407,Photo: Sarah Rice / Special to The Chronicle 2012,Professional - the chronicle,,,,1
